iter	Passed	Remaining
0	586	116727
1	1249	123739
2	2960	194406
3	5368	263067
4	6906	269353
5	6932	224137
6	8312	229175
7	9608	230604
8	10710	227292
9	11809	224381
10	12987	223149
11	14081	220604
12	15109	217340
13	16120	214167
14	17168	211745
15	18205	209359
16	19218	206876
17	20519	207476
18	21811	207780
19	23008	207074
20	24322	207316
21	25658	207600
22	26757	205915
23	27960	205042
24	29020	203146
25	29052	194426
26	30150	193189
27	31195	191626
28	32227	190031
29	33231	188309
30	34268	186816
31	35300	185327
32	36551	184973
33	37744	184283
34	39012	183917
35	40245	183341
36	41374	182272
37	42588	181560
38	43665	180259
39	44744	178976
40	46110	178818
41	47287	177891
42	48427	176815
43	49698	176202
44	50780	174909
45	51858	173613
46	53114	172904
47	54247	171782
48	55328	170503
49	56900	170702
50	58294	170310
51	59572	169552
52	60679	168298
53	61929	167438
54	63098	166351
55	64421	165656
56	65618	164620
57	66677	163245
58	67722	161844
59	68765	160452
60	70011	159535
61	71222	158527
62	72264	157145
63	73304	155772
64	74682	155110
65	76012	154329
66	77289	153425
67	78417	152221
68	79460	150859
69	80481	149466
70	81515	148105
71	82652	146937
72	83727	145663
73	84852	144477
74	85999	143332
75	87548	142842
76	88988	142150
77	90141	140989
78	91507	140156
79	92739	139109
80	94012	138117
81	95242	137056
82	96452	135962
83	97693	134910
84	97722	132213
85	98899	131098
86	100021	129913
87	101377	129025
88	102518	127860
89	103643	126675
90	104893	125641
91	105983	124415
92	107182	123317
93	109058	122980
94	110306	121917
95	111487	120777
96	112499	119457
97	113537	118171
98	114569	116883
99	115591	115591
100	116587	114279
101	117594	112982
102	118589	111681
103	118636	109510
104	119646	108251
105	120729	107062
106	121827	105887
107	122900	104693
108	123924	103459
109	125006	102277
110	126029	101050
111	127048	99824
112	128309	98786
113	128323	96805
114	129732	95889
115	130944	94822
116	132053	93678
117	133126	92511
118	134202	91347
119	135314	90209
120	136391	89049
121	137441	87872
122	138516	86713
123	139617	85572
124	140704	84422
125	141841	83303
126	143158	82288
127	144347	81195
128	145477	80069
129	146657	78969
130	147723	77808
131	148901	76706
132	150188	75658
133	151341	74541
134	153153	73740
135	154622	72763
136	156118	71791
137	157707	70854
138	159156	69845
139	160572	68816
140	162214	67876
141	163927	66956
142	165612	66013
143	166786	64861
144	168196	63798
145	169512	62696
146	170740	61559
147	172106	60469
148	173799	59488
149	175141	58380
150	176209	57180
151	177242	55971
152	178704	54896
153	179891	53733
154	181138	52588
155	182388	51442
156	183613	50288
157	184781	49119
158	185977	47956
159	187099	46774
160	188221	45594
161	189393	44425
162	190544	43252
163	191715	42083
164	192944	40927
165	194081	39751
166	195155	38563
167	196314	37393
168	197417	36212
169	198513	35031
170	199881	33898
171	201098	32736
172	202306	31573
173	203499	30407
174	204567	29223
175	205740	28055
176	206930	26889
177	208080	25717
178	209290	24553
179	210584	23398
180	211662	22218
181	212723	21038
182	213793	19860
183	214871	18684
184	216089	17520
185	217265	16353
186	218378	15181
187	219575	14015
188	220744	12847
189	221881	11677
190	223091	10512
191	224308	9346
192	225696	8185
193	227237	7027
194	228575	5860
195	229659	4686
196	231057	3518
197	232167	2345
198	233404	1172
199	234456	0
