id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price,year2,odometer2,year3,odometer3,year4,odometer4
0,256,1949,25,1,2,4.0,115148,2.0,2,0,2,9.0,5,26.725070166749216,27587,3798601,13259061904,7403473349,1526754460121792,14429369557201,-8664718162991410944
1,288,2013,16,5,1,4.0,172038,2.0,1,0,3,11.0,11,34.0,4724,4052169,29597073444,8157016197,5091821321158872,16420073604561,8989784985181095184
2,79,1998,13,2,2,4.0,152492,2.0,1,2,3,12.0,11,11.0,10931,3992004,23253810064,7976023992,3546020004279488,15936095936016,5784104355010687232
3,16,2014,13,1,7,4.0,104118,2.0,2,2,2,12.0,2,18.0,16553,4056196,10840557924,8169178744,1128697209931032,16452725990416,6837231661341880080
4,283,2005,13,1,2,4.0,144554,2.0,2,2,2,11.0,3,32.0,5158,4020025,20895858916,8060150125,3020579989743464,16160601000625,-6084937931652543728
5,207,2013,23,2,7,4.0,133208,2.0,1,1,3,12.0,4,6.0,7941,4052169,17744371264,8157016197,2363692207334912,16420073604561,1268062301606580224
6,261,2014,29,1,2,4.0,131104,2.0,1,2,2,11.0,2,36.0,5860,4056196,17188258816,8169178744,2253449483812864,16452725990416,288335946448896000
7,227,2006,25,2,2,4.0,158776,2.0,2,2,2,5.0,3,36.0,2799,4024036,25209818176,8072216216,4002714090712576,16192865729296,8345633960855212032
8,181,2013,25,1,2,4.0,127167,2.0,2,2,3,11.0,4,8.0,6036,4052169,16171445889,8157016197,2056474259366463,16420073604561,3261245108921277697
9,326,2012,29,2,7,4.0,150319,4.0,1,2,2,11.0,5,18.0,7341,4048144,22595801761,8144865728,3396578324911759,16387469844736,-5938576841456744127
10,272,2011,25,1,2,3.887042178526604,101850,2.0,2,1,3,12.0,4,17.0,10880,4044121,10373422500,8132727331,1056533081625000,16354914662641,-3072570078751059696
11,233,2010,13,1,2,4.0,95511,4.0,1,2,2,11.0,2,32.0,5757,4040100,9122351121,8120601000,871284877917831,16322408010000,-9016430393737801439
12,213,2018,13,1,7,4.0,55662,4.0,1,2,2,5.0,11,37.0,11039,4072324,3098258244,8217949832,172455250377528,16583822760976,-8847539927195588080
